Company Name,Industry,Symbol,Price Deviation (5 D),LTP,ST,MT,LT,ST %,MT %,LT %
CSB Bank Ltd.,Financial Services,CSBBANK,0.05614,329.65,234.9,302.8,302.8,28.743,8.145,8.145
Westlife Foodworld Ltd.,Consumer Services,WESTLIFE,0.05634,969.25,667.62,568.39,568.39,31.12,41.358,41.358
Coromandel International Ltd.,Chemicals,COROMANDEL,0.05637,1126.8,867.55,779.95,370.38,23.008,30.782,67.13
IDFC First Bank Ltd.,Financial Services,IDFCFIRSTB,0.05639,97.55,53.05,48.5,44.85,45.618,50.282,54.024
Birla Corporation Ltd.,Construction Materials,BIRLACORPN,0.05642,1198.75,899.25,1289.35,732.59,24.984,-7.558,38.887
Jubilant Foodworks Ltd.,Consumer Services,JUBLFOOD,0.05647,551.55,438.8,832.39,281.98,20.442,-50.918,48.875
Suprajit Engineering Ltd.,Automobile and Auto Components,SUPRAJIT,0.05653,410.8,335.73,311.19,228.81,18.274,24.248,44.301
SBI Life Insurance Company Ltd.,Financial Services,SBILIFE,0.05655,1301.0,1099.3,1213.19,662.49,15.503,6.749,49.078
Mahindra & Mahindra Ltd.,Automobile and Auto Components,M&M,0.05657,1589.2,1114.45,735.3,874.99,29.874,53.731,44.941
Shyam Metalics and Energy Ltd.,Metals & Mining,SHYAMMETL,0.05657,441.85,263.08,363.15,363.15,40.459,17.811,17.811
Sundram Fasteners Ltd.,Automobile and Auto Components,SUNDRMFAST,0.0566,1236.5,981.69,911.28,625.03,20.607,26.302,49.452
Finolex Cables Ltd.,Capital Goods,FINCABLES,0.05682,1120.15,790.12,489.98,513.98,29.463,56.258,54.115
Intellect Design Arena Ltd.,Information Technology,INTELLECT,0.05693,718.05,396.98,686.81,258.53,44.714,4.351,63.996
Metro Brands Ltd.,Consumer Durables,METROBRAND,0.05697,1099.4,769.31,769.31,769.31,30.025,30.025,30.025
Metropolis Healthcare Ltd.,Healthcare,METROPOLIS,0.057,1455.5,1233.05,3082.85,3082.85,15.283,-111.807,-111.807
Biocon Ltd.,Healthcare,BIOCON,0.05712,264.65,204.26,363.35,307.33,22.819,-37.295,-16.127
Colgate Palmolive (India) Ltd.,Fast Moving Consumer Goods,COLPAL,0.05732,2050.4,1481.19,1619.32,1019.24,27.761,21.024,50.291
Aavas Financiers Ltd.,Financial Services,AAVAS,0.05746,1704.0,1682.9,2414.0,2414.0,1.238,-41.667,-41.667
Welspun India Ltd.,Textiles,WELSPUNIND,0.05756,123.5,64.63,157.29,71.19,47.668,-27.36,42.356
Kalpataru Projects International Ltd.,Construction,KPIL,0.05758,629.3,629.3,629.3,629.3,0.0,0.0,0.0
K.P.R. Mill Ltd.,Textiles,KPRMILL,0.05775,753.15,553.68,416.85,131.51,26.485,44.652,82.539
Craftsman Automation Ltd.,Automobile and Auto Components,CRAFTSMAN,0.05801,4680.75,3002.95,2131.05,2131.05,35.845,54.472,54.472
E.I.D. Parry (India) Ltd.,Chemicals,EIDPARRY,0.05812,522.45,446.99,415.7,197.78,14.443,20.433,62.144
Rossari Biotech Ltd.,Chemicals,ROSSARI,0.05817,829.95,590.18,1490.73,1490.73,28.89,-79.617,-79.617
Ipca Laboratories Ltd.,Healthcare,IPCALAB,0.0587,922.7,790.05,1226.83,387.27,14.376,-32.961,58.029
Go Fashion (India) Ltd.,Consumer Services,GOCOLORS,0.05874,1280.05,946.2,946.2,946.2,26.081,26.081,26.081
NBCC (India) Ltd.,Construction,NBCC,0.05876,58.7,31.66,45.83,63.55,46.065,21.925,-8.262
Syngene International Ltd.,Healthcare,SYNGENE,0.05878,770.05,576.76,657.39,309.96,25.101,14.63,59.748
Century Plyboards (India) Ltd.,Consumer Durables,CENTURYPLY,0.0591,639.8,454.75,427.43,211.65,28.923,33.193,66.919
Bombay Burmah Trading Corporation Ltd.,Fast Moving Consumer Goods,BBTC,0.05933,1229.0,809.64,1161.95,1844.51,34.122,5.456,-50.082
Hikal Ltd.,Healthcare,HIKAL,0.05945,299.85,262.03,633.54,171.72,12.613,-111.286,42.731
JM Financial Ltd.,Financial Services,JMFINANCIL,0.05963,86.6,58.69,85.2,105.62,32.229,1.617,-21.963
Aurobindo Pharma Ltd.,Healthcare,AUROPHARMA,0.05966,880.25,511.4,719.48,672.64,41.903,18.264,23.585
Shoppers Stop Ltd.,Consumer Services,SHOPERSTOP,0.05977,671.3,639.3,250.1,630.09,4.767,62.744,6.139
Mastek Ltd.,Information Technology,MASTEK,0.05988,2424.6,1536.17,3069.57,472.16,36.642,-26.601,80.526
